Year,J-D
1880,-0.2
1881,-0.11
1882,-0.09
1883,-0.2
1884,-0.27
1885,-0.3
1886,-0.29
1887,-0.32
1888,-0.2
1889,-0.1
1890,-0.36
1891,-0.24
1892,-0.26
1893,-0.29
1894,-0.3
1895,-0.21
1896,-0.14
1897,-0.1
1898,-0.28
1899,-0.16
1900,-0.09
1901,-0.13
1902,-0.26
1903,-0.34
1904,-0.43
1905,-0.28
1906,-0.22
1907,-0.39
1908,-0.43
1909,-0.47
1910,-0.42
1911,-0.43
1912,-0.34
1913,-0.34
1914,-0.15
1915,-0.1
1916,-0.33
1917,-0.39
1918,-0.25
1919,-0.21
1920,-0.26
1921,-0.2
1922,-0.26
1923,-0.23
1924,-0.27
1925,-0.19
1926,-0.09
1927,-0.2
1928,-0.21
1929,-0.35
1930,-0.14
1931,-0.09
1932,-0.16
1933,-0.28
1934,-0.13
1935,-0.19
1936,-0.14
1937,-0.02
1938,-0.03
1939,-0.02
1940,0.08
1941,0.13
1942,0.1
1943,0.13
1944,0.25
1945,0.12
1946,-0.03
1947,-0.05
1948,-0.09
1949,-0.09
1950,-0.18
1951,-0.06
1952,0.01
1953,0.08
1954,-0.12
1955,-0.15
1956,-0.2
1957,0.04
1958,0.07
1959,0.03
1960,-0.02
1961,0.05
1962,0.03
1963,0.06
1964,-0.2
1965,-0.1
1966,-0.05
1967,-0.02
1968,-0.07
1969,0.07
1970,0.02
1971,-0.09
1972,0.01
1973,0.15
1974,-0.08
1975,-0.02
1976,-0.12
1977,0.18
1978,0.07
1979,0.17
1980,0.27
1981,0.33
1982,0.13
1983,0.3
1984,0.15
1985,0.11
1986,0.19
1987,0.33
1988,0.4
1989,0.28
1990,0.44
1991,0.42
1992,0.23
1993,0.24
1994,0.32
1995,0.45
1996,0.35
1997,0.48
1998,0.63
1999,0.42
2000,0.42
2001,0.54
2002,0.63
2003,0.62
2004,0.54
2005,0.69
2006,0.63
2007,0.66
2008,0.54
2009,0.64
2010,0.71
2011,0.6
2012,0.63
2013,0.66
2014,0.75
2015,0.87
2016,0.98
